rid,producer
r19304,SABER FISH
r19305,SABER FISH
r19312,SABER FISH
r19341,Poison@Berry
r19342,Erectlip
r19344,Lune Team Bitters
r19354,GIGA
r19354,Team Baldrhead
r19365,SCREEN
r19407,Kyoubou Joucho Tai
r19412,Selen
r19418,PichiPichi Gallery R
r19422,PichiPichi Gallery R
r19449,Tabito
r19464,PichiPichi Gallery R
r19484,0verflow
r19490,Miyamaya
r19498,SABER FISH
r19500,Softhouse-Seal
r19506,Black Lilith
r19511,Shape Shifter
r19512,Shape Shifter
r19515,Melody
r19521,Ume Soft
r19522,Gekidan Kinmirai
r19522,Softhouse-Seal
r19526,CIRCUS
r19528,Hiyokobanchou
r19544,Courreges Ace
r19547,Courreges Ace
r19561,Studio-74
r19565,raindog
r19566,raindog
r19597,Liar-soft
r19599,Appetite
r19613,dualtail
r19666,ensemble
r19668,Sky Walk
r19680,HighRunning
r19721,CROWD
r19742,D-XX
r19765,ocelot
r19784,CIRCUS
r19785,CIRCUS
r19786,CIRCUS
r19789,Studio Momiji
r19798,ASCII Media Works
r19798,Shade
r19800,Eushully
r19809,"Interheart Co., Ltd."
r19809,Puchi Devil
r19814,West Vision
r19820,BabyClan
r19838,Magical Girl
r19847,Soft Circle Courreges
r19861,Aile Soft
r19862,MOONSTONE Cherry
r19864,Softhouse-Seal
r19864,softhouse-seal GRANDEE
r19885,"CAPCOM Co., Ltd."
r19900,Euphoria
r19917,KOEI TECMO
r19919,Sumikko Soft
r19921,BISHOP
r19938,Yuzusoft
r19939,PeasSoft
r19945,FuRyu Corporation
r19945,HuneX
r19967,Lilith Soft
r19970,Kyousei Josou Kyousei Nyotaika Kyousei Otoko no Ko
r19973,White Cyc
r19974,Center Cherry
r19991,SilveredSteel
r20011,STARWORKS
r20031,AngelSmile
r20041,470in
r20056,NITRO PLUS
r20058,non color
r20068,Miel
r20071,Snack Factory
r20072,Snack Factory
r20085,Tenco
r20100,Suisen
r20118,Waffle
r20123,Caroly
r20149,Studio Neko Punch
r20150,Dieselmine
r20153,TAKE OUT
r20180,FAVORITE
r20211,TinkerBell
r20222,ZIGZAG
r20232,"Design Factory Co., Ltd."
r20232,"Idea Factory Co., Ltd."
r20232,Otomate
r20245,Project-μ
r20275,Bokukano Project
r20286,Atelier Sakura
r20293,ALL-TiME
r20294,Atelier Kaguya
r20294,Atelier Kaguya HonkyTonk Pumpkin
r20302,Canitz
r20320,ChuableSoft
r20326,ORCSOFT
r20330,Aries
r20348,atelier773
r20358,Astronauts
r20358,Astronauts: Sirius
r20361,elle-murakami
r20369,"Idea Factory Co., Ltd."
r20369,Otomate
r20374,PULLTOP
r20376,Rapapuru
r20378,SABER FISH
r20389,bitterdrop
r20392,Doujin3aries
r20419,Sogna
r20426,Sogna
r20454,Enterbrain!
r20460,Masys
r20467,SPEED
r20467,Studio Jikkenshitsu
r20493,Actress
r20493,Prima
r20503,Otomate
r20503,Rejet
r20507,"Idea Factory Co., Ltd."
r20507,Otomate
r20511,Parthenon
r20520,GIGA
r20520,Team Baldrhead
r20526,GIGA
r20526,Team Baldrhead
r20529,GIGA
r20554,Whitesoft
r20567,
r20575,Kogado Studio
r20575,Kuroneko-san Team
r20581,Paranoia/Fact?
r20595,Black Butterfly
r20609,Mint Chocolate
r20664,MAGES.
r20664,Team Gris Gris
r20665,Purple software
r20705,Anime Lilith
r20710,Studio Pork
r20715,Poco Black
r20729,Yumemisou
r20731,Heiantei
r20745,SAGA PLANETS
r20749,Hakutou
r20764,Broccoli
r20764,Nippon Ichi Software
r20773,Harinezumi Koubou
r20787,La'cryma
r20791,Four-Nine
r20792,Four-Nine
r20809,Mada Koubou
r20814,Ex-One
r20821,CYCLET
r20823,CYCLET
r20836,Blame
r20840,tone work's
r20848,Yatagarasu
r20862,Blame
r20870,Yumemisou
r20877,Delta
r20878,Guilty eX
r20895,V.O.L
r20897,Luxury
r20933,FLADY
r20950,Otoko no Ko Club
r20959,Ume Soft
r20967,Minato Soft
r20969,Softhouse-Seal
r20988,Ankoku Marimokan
r20994,Yabusame
r20995,Yabusame
r20996,Yabusame
r20997,Yabusame
r20998,Yabusame
r20999,Yabusame
r21000,Yabusame
r21001,Yabusame
r21003,Bolero
r21013,"Design Factory Co., Ltd."
r21013,"Idea Factory Co., Ltd."
r21013,Otomate
r21031,BELL-DA
r21042,Pham!
r21043,Pham!
r21044,Pham!
r21079,Tabito
r21083,ad:lib
r21095,BABEL
r21097,BABEL
r21099,BABEL
r21104,Fairy Dust
r21112,Melody
r21114,I-Raf-You
r21137,Blue Gale
r21143,5-Gou Shitsu
r21144,5-Gou Shitsu
r21149,Pin-Point
r21165,AKABEiSOFT3
r21179,The Dungeon In Yarn
r21188,CATTLEYA
r21199,propeller
r21254,NITRO PLUS
r21263,light
r21266,Appetite
r21271,Devil-seal
r21271,Softhouse-Seal
r21293,PIL/SLASH
r21317,Yumemisou
r21320,Alice Soft
r21331,Cotton Soft
r21342,BLUEWATER
r21347,ALcot Honey Comb
r21355,Chunsoft
r21355,SEGA
r21358,Chunsoft
r21360,easy-peasy
r21380,Yoru no Hitsuji
r21386,Yoru no Hitsuji
r21387,Hato-King
r21407,BasiL
r21410,Production I.G
r21410,Sony Interactive Entertainment
r21410,Sugar and Rockets Inc.
r21415,Studio Beast
r21420,Unison Shift
r21420,Unison Shift: Blossom
r21447,little cheese
r21451,Grand Cross
r21466,Comfort
r21466,HuneX
r21468,CUFFS
r21469,CUFFS
r21470,Sphere
r21471,Courreges Ace
r21477,Ekikon Kenkyuukai
r21484,KOEI TECMO
r21491,Lump of Sugar
r21494,Pumpkin
r21500,Kokuchou
r21501,rootnuko+H
r21505,Nounai Kanojo
r21543,Sphere
r21544,Division ZERO
r21544,"M2 Co., Ltd."
r21544,MAGES.
r21544,SDR Project
r21595,Hammerheads
r21610,Authoring Heaven
r21611,Authoring Heaven
r21621,Snack Factory
r21634,Real
r21661,Liquid
r21669,Witch Hunt
r21670,Business Partner
r21670,raiL-soft
r21683,Rahu*Rahu
r21688,Hare Tokidoki Gratin
r21710,DD-HOST
r21719,Magic House
r21749,Fudegaki Soft
r21753,Gear Kite
r21754,Underground Campaign
r21755,Underground Campaign
r21768,Jewel
r21773,ZERO
r21780,Whirlpool
r21795,LOVE&DESTROY
r21801,Rosebleu
r21807,Vanadis
r21826,SORAHANE
r21862,10mile
r21893,Erotrance
r21906,Blue Devil
r21907,Blue Devil
r21910,Blue Devil
r21935,ωstar
r21937,Liar-soft
r21943,Blue Devil
r21952,MorningStar
r21972,Swaneye
r21973,Autobahn
r22019,Cotton Soft
r22020,Cotton Soft
r22026,GIGA
r22026,Team Baldrhead
r22038,ALcot
r22041,ROSEVERTE
r22045,Xuse
r22045,Xuse [Honjouzou]
r22051,Atelier Sakura
r22054,Yabusame
r22056,Alice Soft
r22057,Parthenon
r22065,Frontwing
r22067,Potage
r22068,Minato Carnival
r22070,Triangle!
r22076,Eleonora
r22077,Level 5
r22100,KAI
r22133,Gensou Strauss
r22154,Trois
r22161,M-LAB.
r22164,M-LAB.
r22172,NITRO CHiRAL
r22175,CYBERFRONT
r22175,KID
r22187,FlyingShine Black
r22190,Anime Lilith
r22193,SkyFish
r22194,GIGA
r22200,Trush
r22243,Tanuki Soft
r22255,Eternal Memory
r22257,Eternal Memory
r22286,Meiousei Presents
r22301,Meiousei Presents
r22308,"Design Factory Co., Ltd."
r22308,"Idea Factory Co., Ltd."
r22308,Otomate
r22316,Marine
r22331,Luna Soft
r22346,elf
r22352,ANIM
r22352,ANIM.teamMM
r22360,DINGO Inc.
r22360,Enterbrain!
r22360,Kadokawa Games
r22377,Genroku Soft
r22380,Nanika-Modoki
r22386,An ♪ An ♪ Shokudou
r22388,C's Ware BLITZ
r22389,Akatonbo
r22392,AQUAPLUS
r22392,STING
r22422,Gin no Suzu
r22436,Goku-Fero
r22446,Miel
r22449,Artifact
r22450,Artifact
r22470,Gekidan Kinmirai
r22478,Softhouse-Seal
r22494,
r22495,Vallel
r22504,Ume Soft
r22506,10mile
r22515,Overdose
r22525,Appetite
r22540,HOOKSOFT
r22542,evee
r22555,Momoiro Gekijou
r22567,Sugar House
r22568,Dieselmine
r22588,AUGUST
r22588,Enterbrain!
r22614,May-Be SOFT
r22620,Unison Shift
r22620,Unison Shift: Accent
r22624,Alvion
r22624,Ullucus Heaven
r22626,FLAT
r22630,#define
r22633,Yakiniku Banzai!
r22640,MBS Truth
r22643,NekoNeko Soft
r22644,NekoNeko Soft
r22645,Tsurumiku
r22646,NekoNeko Soft
r22647,NekoNeko Soft
r22651,Dandelion
r22658,MBS Truth
r22662,Aromarie
r22664,SQUEEZ
r22673,Atelier Sakura
r22673,Atelier Sakura Roshutsu Yuugi
r22682,Negalion
r22690,Pin-Point
r22692,Gyuunyuu Soft
r22736,Lump of Sugar
r22744,G.J?
r22753,Devil-seal
r22753,Softhouse-Seal
r22766,BISHOP
r22774,One-up
r22794,ensemble
r22796,Kadokawa Games
r22796,Netchubiyori Ltd.
r22811,CLOCKUP team.DYO
r22827,"Idea Factory Co., Ltd."
r22827,Otomate
r22834,CLOCKUP team.DYO
r22855,"Design Factory Co., Ltd."
r22855,"Idea Factory Co., Ltd."
r22862,"Design Factory Co., Ltd."
r22862,"Idea Factory Co., Ltd."
r22862,Otomate
r22877,Softhouse-Seal
r22877,softhouse-seal GRANDEE
r22884,Winlight
r22910,May-Be SOFT
r22918,Studio Kame
r22918,Studio Kame -Core-
r22936,Genroku Soft
r22939,ZION
r22977,Libido
r22998,Atelier Kaguya
r23017,Norn
r23020,ZION
r23022,Meim
r23068,CLOCKUP team.DYO
r23073,CLOCKUP
r23073,CLOCKUP team.ANISE
r23089,C: drive.
r23096,Liquid
r23119,BISHOP
r23124,Marmalade
r23130,Navel
r23141,SAGA PLANETS
r23173,Digital Aniki
r23190,"Design Factory Co., Ltd."
r23190,"Idea Factory Co., Ltd."
r23190,Otomate
r23193,Studio Beast
r23197,Hako Ni Go Itai Production Committee
r23206,ROSEVERTE
r23209,imageepoch
r23209,Marvelous Inc.
r23209,TYPE-MOON
r23252,Juice
r23274,Windmill Oasis
r23276,Studio Ryokucha
r23277,Actress
r23278,Applique
r23279,Staffing
r23299,ILLUSION
r23301,Megami
r23303,ZyX
r23317,Rejet
r23325,*coelacanth*
r23348,OLE-M
r23374,Yagitei
r23378,Silky's
r23390,SABER FISH
r23393,Optim
r23403,Clochette
r23405,Water colors -games-
r23406,Sytry
r23422,Yoru no Hitsuji
r23424,ALcot Honey Comb
r23425,COSMIC CUTE
r23426,CUBE
r23427,Cabbit
r23428,Alice Soft
r23432,SPEED
r23439,PULLTOP
r23446,Tarutaru
r23489,Rasen
r23514,Miel
r23518,Otoko no Ko Club Z
r23519,"Amenonuboko Co., Ltd."
r23519,SYOKU
r23528,Koei
r23543,SABER FISH
r23545,Black Luna
r23549,Atelier Sakura
r23574,Jitensha Sougyou
r23576,Yabusame
r23588,SABER FISH
r23602,Littlewitch
r23606,ChuableSoft
r23617,Littlewitch
r23618,Littlewitch
r23619,Littlewitch
r23624,Sekilala
r23628,#define
r23632,elle-murakami
r23641,ChuableSoft
r23649,Selen
r23650,ChuableSoft
r23657,"Bandai Co., Ltd."
r23657,KID
r23684,TAKUYO
r23708,"Design Factory Co., Ltd."
r23708,"Idea Factory Co., Ltd."
r23708,Otomate
r23735,"Design Factory Co., Ltd."
r23735,"Idea Factory Co., Ltd."
r23735,Otomate
r23782,1micron
r23798,Makura
r23807,KID
r23848,Mink EGO
r23852,Hanpamania-Soft
r23854,Hanpamania-Soft
r23857,LoveDelivery
r23860,Key
r23860,VISUAL ARTS
r23863,Yurin Yurin
r23864,PULLTOP LATTE
r23875,Snack Factory
r23876,Snack Factory
r23885,Liar-soft
r23889,Whirlpool
r23907,Yatagarasu
r23908,Dokkoi Soft
r23933,Monoceros
r23944,Chien
r23959,KONAMI
r23967,Rapapuru
r23973,Miel
r23979,fairys
r24018,Kitsunemimi Manjuu
r24023,ninetail
r24037,FlyingShine
r24041,Kokuchou
r24054,WILD FLOWER
r24067,E.G.O.
r24086,Innocent Grey
r24096,D3PUBLISHER
r24096,Vridge Inc.
r24097,Enterbrain!
r24097,WoGa
r24101,KOEI TECMO
r24112,Eufonie
r24119,inspire
r24140,Fairytale
r24140,"F&C Co., Ltd."
r24199,"Idea Factory Co., Ltd."
r24199,Otomate
r24205,Nekobanana
r24206,Nekobanana
r24210,Dieselmine
r24226,Liar-soft
r24242,CYCLET
r24252,Hudson Soft
r24252,RED
r24252,"Will Co., Ltd."
r24253,Hudson Soft
r24253,RED
r24253,"Will Co., Ltd."
r24254,Windmill
r24260,FLAT
r24260,Regista
r24260,Yeti
r24291,Chunsoft
r24305,Pin-Point
r24334,ApRicoT
r24338,MAGES.
r24338,Rejet
r24358,imageepoch
r24358,Marvelous Inc.
r24358,TYPE-MOON
r24373,Mille Feuille
r24374,Alice Soft
r24418,Onomatope*
r24420,DIGICLA
r24421,1010
r24430,Palette
r24440,Windmill Oasis
r24482,SABER FISH
r24527,SABER FISH
r24528,SABER FISH
r24529,SABER FISH
r24533,Studio Ebisu
r24547,StudioTiara
r24587,Karin Entertainment
r24587,Marvelous Inc.
r24617,Sage
r24640,Sage
r24640,SQUADRA D
r24651,cutlass
r24662,ASCII Media Works
r24662,HuneX
r24678,Frontwing
r24717,Black Cyc
r24719,Black Cyc
r24749,"Idea Factory Co., Ltd."
r24749,Otomate
r24749,Rejet
r24752,"Design Factory Co., Ltd."
r24752,"Idea Factory Co., Ltd."
r24752,Otomate
r24757,"Idea Factory Co., Ltd."
r24757,Otomate
r24757,Vingt-et-un. Systems Corporation
r24758,"Idea Factory Co., Ltd."
r24758,Otomate
r24758,Vingt-et-un. Systems Corporation
r24772,Dieselmine
r24777,BlackButterfly
r24792,Praline
r24793,Parthenon
r24796,Parthenon
r24804,Parthenon
r24806,Parthenon
r24864,light
r24865,Lump of Sugar
r24888,"F&C Co., Ltd."
r24888,F&C FC01
r24903,Hyperiyon
r24904,Unison Shift
r24904,Unison Shift: Blossom
r24905,BABEL
r24927,Lune
r24930,Grindhouse
r24936,Ex-One
r24987,Gekidan Kinmirai
r25002,Makura Cover Soft
r25026,Kuro Densha
r25090,Msize
r25103,X-BangBang
r25110,Tarte
r25120,Soft Circle Courreges
r25132,Whitesoft
r25167,Natsume
r25167,Towachiki
r25185,Atelier Sakura
r25206,Bakery
r25222,Studio-Sakura
r25229,Studio-Sakura
r25247,Studio-Sakura
r25257,Kotoba Asobi
r25263,Alice Soft
r25275,mana
r25280,OVERDRIVE
r25284,Pajamas Soft
r25287,minori
r25297,PIL/SLASH
r25311,Alco Entertainment
r25313,elf
r25327,Minato Soft
r25328,Minato Soft
r25334,1010
r25344,Sincere
r25356,Atelier Sakura
r25356,Atelier Sakura DARKNESS
r25357,ZION
r25367,Pin-Point
r25372,Purple software
r25379,Fusyro
r25381,Fusyro Mini
r25385,Fusyro
r25398,Fusyro
r25410,Fusyro
r25415,Fusyro Mini
r25416,Fusyro Mini
r25417,Fusyro
r25417,Fusyro Mini
r25417,qoo's labo
r25420,Fusyro
r25435,Tigre Soft
r25480,Schwarz Lanzenreiter
r25502,Yurin Yurin
r25518,Makura Cover Soft
r25550,APPLE project
r25565,Atelier Kaguya
r25565,Atelier Kaguya HonkyTonk Pumpkin
r25584,Kokuchou
r25593,SkyFish
r25594,Comfort
r25594,HuneX
r25608,SkyFish
r25616,Hakudakukei
r25631,Pita Fetish!
r25638,ORCSOFT
r25675,Polarstar
r25676,Complet's
r25683,"Idea Factory Co., Ltd."
r25683,Otomate
r25683,Rejet
r25701,"Idea Factory Co., Ltd."
r25701,Otomate
r25701,Rejet
r25708,Eushully
r25709,Broccoli
r25709,HuneX
r25747,OVERDRIVE
r25750,Black Lilith
r25753,Sweetlight
r25754,HARNESS
r25761,NITRO PLUS
r25767,Jirai Soft
r25771,OVERDRIVE
r25778,Kinako no Yama
r25780,Torotoro Resistance
r25797,Ichi Column
r25797,"Idea Factory Co., Ltd."
r25797,Otomate
r25849,POISON
r25851,ANIM
r25851,ANIM.teamMM
r25859,hibiki works
r25863,Anda Daichii
r25882,Lune
r25891,Appetite
r25892,Shiritsu Sakuranbo Shougakkou
r25896,SQUEEZ
r25925,Ume Soft
r25926,Ume Soft
r25937,Armonica
r25949,Lilac Soft
r25983,Klein
r26025,SPEED
r26028,Yonaki Uguisu
r26038,Fetish:(Fetish colon)
r26071,Minato Carnival
r26101,Yurin Yurin
r26103,Triplethreat
r26108,Lilith Soft
r26144,Mada Koubou
r26175,Sage
r26187,ASa Project
r26205,Hiyoko Soft Momogumi
r26214,Otoko no Ko Club
r26222,ensemble
r26258,D-ivision
r26281,Studio Kame
r26281,Studio Kame -Core-
r26288,A1C
r26288,Grand Cru bourgeois
r26308,Love Juice Pink
r26319,Lass
r26372,Appetite
r26383,Studio Pork
r26392,G.J?
r26398,G.J?
r26406,G.J?
r26411,10mile
r26432,HARUKAZE
r26440,Solarray
r26442,Solarray
r26445,BISHOP
r26446,CATTLEYA
r26475,Mead
r26477,Poni-Pachet
r26494,MOONSTONE Cherry
r26501,Lump of Sugar
r26569,3rdEye
r26570,Xuse
r26571,Frill
r26582,AUGUST
r26589,agony/Kinshiiku
r26623,COSMIC CUTE
r26625,nostalabel
r26633,Nounai Kanojo
r26647,Ex-One
r26673,Kasuga Soft
r26676,Kasuga Soft
r26698,Shoujo Idenshi
r26736,Lump of Sugar
r26737,Lump of Sugar
r26740,
r26746,Milk Pudding
r26750,Pin-Point
r26830,SofthouseChara
r26868,OLE
r26879,Winters
r26883,Miel
r26892,propeller
r26898,age
r26899,Liar-soft
r26900,Unison Shift
r26900,Unison Shift: Blossom
r26908,Active
r26910,Active
r26913,Active
r26926,Pin-Point
r26931,AUGUST
r26938,Cinematograph
r26951,AKABEiSOFT2
r26953,Sumikko Soft
r26966,Sphere
r26975,Cyc No-nos
r26978,Cyc No-nos
r26996,SMEE
r27025,MAGES.
r27025,NITRO PLUS
r27031,Appetite
r27033,Snack Factory
r27059,Puni-Soft
r27061,Etoiles
r27062,Erectlip
r27069,SAGA PLANETS
r27071,SAGA PLANETS
r27089,Anastasia
r27089,Eushully
r27107,Miel
r27124,parade
r27138,CYCLET
r27140,CYCLET
r27181,ALICE IN DISSONANCE
r27191,Armadillo
r27202,COMPILE HEART
r27202,STING
r27204,Mekkin Jikkou Butai
r27207,Beelzebub
r27217,Team-Tanabe
r27248,Circle Mebius
r27271,Guilty
r27271,WillPlus
r27298,Onomatope*
r27315,Jitensha Sougyou
r27338,P.W.
r27343,Monbahara
r27384,Minato Soft
r27390,AUGUST
r27390,Enterbrain!
r27391,AUGUST
r27400,Noesis
r27433,Swaneye
r27451,Pumpkin
r27478,Tiny Bell
r27499,"Design Factory Co., Ltd."
r27499,"Idea Factory Co., Ltd."
r27499,Otomate
r27518,NITRO PLUS
r27536,Himawari
r27540,Winters
r27564,Yuzusoft
r27570,Yokubou no Tou
r27578,CIRCUS
r27579,BinaryStarGames
r27599,Guilty
r27600,Kodomo no Koe
r27602,Gekidan Kinmirai
r27616,Team-Tanabe
r27618,Ume Soft
r27622,Score
r27691,Navel
r27695,TranceSoft
r27709,4H
r27730,Kurumi
r27734,4H
r27736,elf
r27741,Yurin Yurin
r27743,4H
r27751,4H
r27753,SUKARADOG
r27755,4H
r27767,Atelier Kaguya
r27767,Atelier Kaguya TEAM Gassa-Q
r27771,Utsukiyo
r27772,Utsukiyo
r27794,4H
r27809,Minato Soft
r27810,Minato Soft
r27818,BL Declaration!
r27823,Dieselmine Mf
r27868,Pita Fetish!
r27873,catwalk
r27873,catwalkNERO
r27902,Devil-seal
r27902,Softhouse-Seal
r27905,Honey Boy
r27908,SUKARADOG
r27922,Black Lilith
r27924,Nagaameya
r27983,TetraScope
r28026,Kokuchou
r28036,HACKMOCK
r28050,Gekidan Kinmirai
r28072,Arc System Works
r28073,KISS
r28106,Sakuraprin
r28108,Eleonora
r28134,Lune
r28164,Soft Circle Courreges
r28183,HOOKSOFT
r28184,Marmalade
r28200,Neco-inco
r28206,TRYSET
r28206,TRYSET MAD
r28207,Broccoli
r28208,Broccoli
r28211,Broccoli
r28213,Ichi Column
r28213,"Idea Factory Co., Ltd."
r28213,Otomate
r28214,MAGES.
r28225,Appetite
r28228,Goku-Fero
r28229,Astronauts
r28229,Astronauts: Spica
r28230,Alice Soft
r28269,Staffing
r28281,CIRCUS
r28282,SkyFish poco
r28294,eye★phon
r28295,Purple software
r28325,Tamamo Studio
r28366,rush+
r28377,FUNKY☆CANDY
r28378,Gintou
r28384,SAGA PLANETS
r28391,Sora Labo
r28421,ILLUSION
r28448,Princess Crown
r28480,Lune Team Bitters
r28495,BaseSon
r28503,MOONSTONE
r28567,Suisen
r28582,Yohakuya
r28585,Yohakuya
r28637,PULLTOP
r28649,dualtail
r28662,GIGA
r28662,Team Baldrhead
r28664,Effordom Soft Crown
r28670,Anime Lilith
r28674,An ♪ An ♪ Shokudou
r28685,Galette
r28713,PINE
r28718,LOVE&DESTROY
r28721,Seven Wonder
r28748,Appetite
r28753,WendyBell
r28765,Bara-Yuri Productions
r28774,TetraScope
r28803,light
r28806,Devil-seal
r28806,Softhouse-Seal
r28815,bootUP!
r28821,Rejet
r28823,BL Japan
r28826,Gintou
r28827,Gintou
r28829,Gintou
r28831,Gintou
r28855,Youkai Tamanokoshi
r28864,Utsukiyo
r28875,Spindle
r28884,Tears Lab.
r28895,Kokuchou
r28913,Tamsoft Corporation
r28913,Try First
r28950,Dandelion
r28951,Lose
r28953,Ammolite
r28961,Tsugihagi Project
r28975,LOVE&DESTROY
r28980,Magic House
r28985,WILD ROSE
r28986,WILD ROSE
r28989,WILD ROSE
r29012,Doujin3aries
r29015,LOVE&DESTROY
r29027,LOVE&DESTROY
r29033,Appetite
r29034,M de Pink
r29035,MonstreCarameliser
r29040,TokyoRox
r29054,Kuro Densha
r29055,DreamDrops
r29058,Suzunome Project
r29068,SPD
r29099,Nighthawk
r29100,Nighthawk
r29102,Nighthawk
r29103,Nighthawk
r29104,Nighthawk
r29105,Nighthawk
r29106,Nighthawk
r29107,Nighthawk
r29108,Nighthawk
r29110,Nighthawk
r29111,Nighthawk
r29150,Yotsutsuji Echo
r29188,6COLORS
r29207,Ange
r29212,Ange
r29214,Ange
r29235,Eroit
r29240,D-ivision
r29251,Windmill
r29252,Fudegaki Soft
r29253,Atelier Kaguya
r29253,Atelier Kaguya HonkyTonk Pumpkin
r29258,SABER FISH
r29266,Rascou
r29277,ko-eda
r29283,Otoko no Ko Soft
r29299,future
r29314,AlaruM
r29323,A1C
r29323,Grand Cru bourgeois
r29330,Shelf
r29482,Imaginary Garden
r29484,Imaginary Garden
r29488,Ricotta
r29489,Luna Soft
r29490,Atelier Sakura
r29509,Otoko no Ko Club
r29544,D:drive.
r29578,Ankrache
r29621,Inohead Studio
r29631,Gyuunyuu Soft
r29663,light
r29669,CLOCKUP
r29674,Luxury
r29721,Blue Devil
r29724,Kedamono Soft
r29763,"CAPCOM Co., Ltd."
r29779,Waffle
r29800,material
r29815,BOOST ON
r29840,Black Cyc
r29844,BISHOP
r29844,BISHOP Royal
r29862,a Matures
r29864,Sol-fa-soft
r29867,Sol-fa-soft
r29892,AlaruM
r29892,Cool-B
r29895,MAGES.
r29895,Team Gris Gris
r29935,Shiritsu Sakuranbo Nyuugakkou
r29999,Devil-seal
r29999,Softhouse-Seal
r30012,Bandai Namco Entertainment Inc.
r30012,MicroVision
r30026,Princess Crown
r30042,Atelier Sakura
r30042,Atelier Sakura DARKNESS
r30043,ANIM
r30043,ANIM.teamMM
r30060,feng
r30075,Lapis Lazuli
r30080,Black Rabbit
r30081,ensemble
r30082,Liquid
r30087,Dieselmine
r30096,Fleur-Soft
r30126,AQUAPLUS
r30126,STING
r30146,ALcot Honey Comb
r30148,Unison Shift
r30148,Unison Shift: Blossom
r30156,Utsukiyo
r30163,Alice Soft
r30163,imageepoch
r30165,Hulotte
r30190,Silky's
r30200,seal-QUALIA
r30220,Mithril Software
r30222,Debo no Su Seisakusho
r30234,Latte
r30255,Serene
r30269,Bianca
r30280,GRISEDGE
r30284,girls★dynamics
r30285,Carriere
r30299,Blue Gale
r30303,Carriere
r30356,Tatewaki
r30365,SABER FISH
r30380,Rejet
r30381,Swaneye
r30403,raindog
r30404,Arc System Works
r30409,STUDIO TRIUMPH
r30414,Frillboy
r30416,Frillboy
r30435,Sherbet Soft
r30448,Appetite
r30462,Lump of Sugar
r30464,Sherbet Soft
r30479,Sherbet Soft
r30481,Sherbet Soft
r30482,Sherbet Soft
r30507,Solarray
r30517,US8
r30541,Hakutouka
r30543,Yurin Yurin
r30559,SQUEEZ
r30571,Miel
r30607,Digital Cute
r30614,G.J?
r30628,Neko Hige Radio
r30638,Nighthawk
r30651,Sister Soft
r30658,GIRL SCORE
r30673,Mink
r30678,Tamamo Studio
r30680,CandySoft
r30695,GIGA
r30709,Marine Heart
r30714,Koei
r30721,Koei
r30723,Koei
r30734,GLace
r30750,Spoon
r30753,Stage-nana
r30763,Akatsuki WORKS
r30772,Riverhill Soft inc.
r30795,Otoko no Ko Soft
r30798,Otoko no Ko Soft
r30799,Otoko no Ko Soft
r30823,a.m.
r30826,a.m.
r30850,a.m.
r30863,Atelier Sakura
r30864,More
r30870,Nurejiru
r30875,Underground Campaign
r30903,Tigre Soft
r30920,Stage-nana
r30965,Heiantei
r30983,mana
r30993,My Daughter
r31001,Nekomaru Shoukoukai
r31036,BABEL
r31044,Spindle
r31051,minori
r31059,Water colors -games-
r31093,Ponkotsu KNIGHT
r31103,KeroQ
r31109,Steroider
r31111,cutlass
r31111,"TO-A CO., LTD"
r31114,Pita Fetish!
r31166,Miel
r31170,piriri!
r31171,GIGA
r31178,Gintou
r31208,PeasSoft
r31219,Uracil
r31251,Shadow's Silhouette
r31264,roman'ya
r31274,JUNK or SKY
r31284,Praline
r31290,Appetite
r31291,"Pony Canyon, Inc."
r31291,Wit Studio
r31298,ωstar
r31299,Nighthawk
r31355,0verflow
r31355,Klon
r31359,Frontwing
r31360,SYRUP -Many Milk-
r31383,Nighthawk
r31384,SABER FISH
r31400,BL Japan
r31400,Green☆Stars
r31429,AbelCain
r31433,AbelCain
r31444,HYBRID_CIRCUS
r31457,Soft Edge
r31457,"Yano Electric Co., Ltd."
r31460,Takura
r31485,TinkerBell
r31493,MAXAL
r31525,a.m.
r31554,Pham!
r31568,ωstar
r31587,aki8
r31600,PINK BAT
r31604,Nighthawk
r31605,GEKKOKU
r31607,LOVE&DESTROY
r31660,Otoko no Ko Soft
r31707,LoveSlave
r31720,Jinsei Tsuukoudome
r31721,Kagura Dou
r31724,HOOKSOFT
r31737,Bubble-Dog
r31752,S Style
r31773,Aidorin
r31780,Ammolite
r31784,CYCLET
r31786,Lycoris
r31790,PULLTOP
r31790,PULLTOP LATTE
r31794,Ume Soft
r31847,Tenco
r31883,Segue Laboratory
r31906,Raziel
r31908,Octave
r31908,Softfactory
r31953,Yabusame
r31957,NostalgicChord
r31960,Hobibox
r31960,Pure Wool
r31961,Natsukon
r31976,Atelier Kaguya
r31976,Atelier Kaguya BARE & BUNNY
r31977,"Idea Factory Co., Ltd."
r31977,Otomate
r31993,JACK2
r32024,Splatter Hour
r32030,Petit KeroQ
r32032,Otoko no Ko Club
r32037,Akatsuki WORKS
r32096,Sekilala
r32097,GIGA
r32102,Tsuki no Sora
r32139,D.O.
r32164,Yurin Yurin
r32205,Stage-nana
r32214,aki8
r32224,Mahoutsukai Soft
r32225,Massel
r32227,Classic.
r32239,DISCOVERY
r32267,Spindle
r32268,Appetite
r32316,CATTLEYA
r32341,TRYSET
r32357,Pearl drop
r32368,winter sister
r32382,Voltage Inc.
r32402,Nighthawk
