rid,producer
r3888,Marine
r3909,Norn
r3911,CATTLEYA
r3922,Dennou Club
r3925,Alice Soft
r3929,Phi Age
r3930,MAGES.
r3930,NITRO PLUS
r3936,Talisman
r3949,NITRO PLUS
r3957,honeybee
r3958,honeybee
r3959,honeybee
r3960,honeybee
r3961,PLAYM
r3964,AUGUST
r3995,Alice Soft
r3996,Alice Soft
r3997,Alice Soft
r3998,Alice Soft
r4003,Alice Soft
r4005,Alice Soft
r4006,Alice Soft
r4007,Alice Soft
r4008,Alice Soft
r4018,13cm
r4044,LiLiM DARKNESS
r4046,LiLiM DARKNESS
r4056,Studio Mebius
r4057,Studio Mebius
r4061,CATTLEYA
r4081,Studio e.go!
r4091,May-Be SOFT
r4100,Debo no Su Seisakusho
r4107,KONAMI
r4112,"F&C Co., Ltd."
r4112,RED-ZONE
r4117,Gekidan Kinmirai
r4117,Softhouse-Seal
r4120,Goku-Fero
r4123,Unison Shift
r4127,Kogado Studio
r4127,Kuroneko-san Team
r4138,BELL-DA
r4140,LiLiM
r4140,Lurid
r4151,Cing
r4151,Nintendo
r4179,"Banpresto Co., Ltd."
r4179,Gust
r4199,West Vision
r4222,07th Expansion
r4224,Monoceros
r4228,Hammerheads
r4228,Le.Chocolat
r4233,Vivid Color
r4241,Koei
r4259,13cm
r4259,AyPio
r4262,Helios
r4286,Norn
r4295,Atelier Kaguya
r4295,Atelier Kaguya HonkyTonk Pumpkin
r4296,catwalk
r4296,catwalkNERO
r4298,Softhouse-Seal
r4300,Escu:de
r4324,UnderMoon
r4328,BasiL
r4336,Blue Gale
r4350,Potage
r4352,Clochette
r4353,DUEE
r4356,Touchy
r4369,Eushully
r4371,KISS-MA
r4373,PANDAHOUSE
r4407,Norn
r4407,Wanko Soft
r4408,Fortune♪
r4408,Takayashiki Kaihatsu
r4413,ApRicoT
r4413,CROSSNET
r4435,Alice Soft
r4437,Actress
r4437,Prima
r4442,Rose Tiara
r4446,Rolling Star
r4457,UnderMoon
r4466,elf
r4468,Guilty+
r4475,Forester
r4479,Alice Soft
r4480,Touchy
r4503,Guilty
r4505,SAGA PLANETS
r4508,Black Lilith
r4509,Silky's
r4522,MAGES.
r4522,Princess Soft
r4529,Fulltime
r4529,Teatime
r4531,Rolling Star
r4539,Shall Luck Plus
r4539,Tyrell Laboratory Inc.
r4543,Black Cyc
r4544,Black Cyc
r4547,Business Partner
r4547,raiL-soft
r4550,BISHOP
r4554,"F&C Co., Ltd."
r4554,RED-ZONE
r4557,Aromarie
r4560,EDGE
r4561,EDGE
r4572,elf
r4574,elf
r4575,elf
r4577,elf
r4585,elf
r4587,elf
r4594,Silky's
r4598,elf
r4600,Xuse
r4613,Active
r4617,elf
r4620,elf
r4630,LUCHA!
r4634,Air Plants
r4641,guyzware
r4641,KONAMI
r4643,elf
r4646,Silky's
r4664,Liar-soft
r4680,13cm
r4681,Ume Soft
r4685,Mink
r4690,G.J?
r4692,Delta
r4698,Sweet Basil
r4716,Swaneye
r4718,10mile
r4722,Rose Crown
r4731,Bloom Handle
r4739,Morning
r4745,Yellow Pig
r4748,Yellow Pig
r4758,Artlim Media
r4758,CDPA
r4767,Selen
r4773,Akatsuki WORKS
r4779,Selen
r4795,VALKYRIA
r4800,Maika
r4802,Alice Blue
r4837,TinkerBell
r4839,Melty Koubou
r4857,SPEED
r4857,Studio Jikkenshitsu
r4858,SPEED
r4858,Studio Jikkenshitsu
r4867,Selen Advance
r4868,elf
r4874,Guilty
r4888,Studio Miris Team L←→R
r4896,Blue Impact
r4903,Bloom Handle
r4904,Blue Impact
r4904,GN Software
r4910,Fuguriya
r4919,FlyingShine Black
r4920,FlyingShine Black
r4921,FlyingShine Black
r4922,FlyingShine Black
r4928,Hina Soft
r4928,Moe Hina
r4929,GROOVER
r4939,KONAMI
r4952,Studio e.go!
r4953,Studio e.go!
r4969,Norn
r4971,Clic-Clac
r4986,CIRCUS
r4998,Ume Soft
r5011,age
r5011,Sound Wing
r5012,Anime-seal
r5012,Softhouse-Seal
r5023,ZIGZAG
r5024,FAVORITE
r5037,light
r5048,Selen
r5054,D.O.
r5058,Interchannel
r5058,NekoNeko Soft
r5067,Miel
r5068,Yukari
r5073,Utage
r5077,TOP
r5085,Ankh
r5112,Amolphas
r5115,AMEDEO
r5116,Stage-nana
r5118,Swan
r5128,Zero Zigen
r5129,Matsuri Kikaku
r5132,Morning
r5153,Heat-Soft
r5180,SEGA
r5181,SEGA
r5182,SEGA
r5183,SEGA
r5184,SEGA
r5185,SEGA
r5186,SEGA
r5187,SEGA
r5198,Tokyo Shoseki
r5198,Zap
r5206,Sunsoft
r5206,Tokai Engineering
r5213,TOPCAT
r5218,Studio Ryokucha
r5219,elf
r5226,ALcot
r5239,M no Violet
r5240,C's Ware
r5254,Gekidan Kinmirai
r5254,Softhouse-Seal
r5257,Lilith Soft
