vn_id,rid,vn_title,age_rating,vn_length_str,vn_length_h,has_anime,is_nukige
v874,r1722,Heartful Memories ~Little Witch Parfait 2~,12,10-30 h,24.550,f,f
v875,r1724,Naisho no Jikan,18,2-10 h,1.712,t,t
v876,r1726,Metal Slader Glory,0,2-10 h,5.900,f,f
v877,r7398,Jesus,0,2-10 h,3.046,f,f
v878,r1731,True Love Story,0,Unknown,29.217,f,f
v880,r1735,Akira,0,0-2 h,2.372,t,f
v882,r1738,Nangoku Dominion,18,10-30 h,45.000,f,f
v887,r1743,Tsuma Shibori,18,30-50 h,40.667,t,t
v888,r23911,Toushin Toshi,18,2-10 h,8.964,f,f
v889,r13722,Toushin Toshi II,18,10-30 h,29.804,t,f
v890,r1749,Maison Ikkoku ~Omoide no Photograph~,0,2-10 h,1.283,t,f
v893,r73676,SNOW,18,30-50 h,40.183,f,f
v895,r1768,Mashou no Nie,18,2-10 h,12.613,f,t
v897,r3445,Natsumegu,15,10-30 h,13.917,f,f
v898,r25110,Hinatabokko,0,10-30 h,13.174,f,f
v899,r1776,Ryoujoku Guerilla Gari,18,2-10 h,8.211,f,t
v900,r1779,Boku no Mesu Hisho wa Doukyuusei,18,10-30 h,11.000,f,t
v901,r46153,Oishii Bou ga 2hon,18,2-10 h,3.000,f,t
v902,r77536,Shimai Don ~Shirudaku de~,18,10-30 h,8.000,f,t
v903,r1786,Edelweiss,18,10-30 h,27.449,f,f
v913,r1812,Suigetsu,18,10-30 h,30.922,f,f
v914,r1816,SWAN SONG,18,10-30 h,18.782,f,f
v915,r1818,Gin'iro,18,10-30 h,14.004,f,f
v916,r1819,Nagomibako Innocent Grey Fandisc,18,2-10 h,5.372,f,f
v917,r12265,Sono Hanabira ni Kuchizuke o,18,2-10 h,5.039,f,t
v922,r1845,Sono Hanabira ni Kuchizuke o: Watashi no Ouji-sama,18,2-10 h,3.457,f,t
v925,r11927,Sono Hanabira ni Kuchizuke o: Anata to Koibito Tsunagi,18,2-10 h,2.802,t,t
v926,r11928,Sono Hanabira ni Kuchizuke o: Itoshisa no Photograph,18,2-10 h,2.975,f,t
v927,r1861,White ~Setsunasa no Kakera~,18,10-30 h,11.875,f,f
v933,r33150,Gore Screaming Show,0,30-50 h,28.839,f,t
v938,r1889,Sono Hanabira ni Kuchizuke o: Anata o Suki na Shiawase,18,2-10 h,3.437,f,t
v952,r2585,Sakura Taisen,0,10-30 h,21.294,t,f
v961,r1916,Goshujin-sama Da~isuki,18,10-30 h,23.625,f,t
v962,r35921,Sora-iro no Organ,18,10-30 h,13.083,f,f
v963,r14768,Toppara ~Zashikiwarashi no Hanashi~,18,10-30 h,45.525,f,f
v964,r1920,Ane to Boin,18,10-30 h,16.000,t,t
v968,r2913,Canvas 3 ~Hakugin no Portrait~,18,10-30 h,25.000,f,f
v970,r92613,VIPER-RSR,18,2-10 h,4.250,f,f
v971,r12261,Rinkan Kurabu,18,10-30 h,13.733,t,t
v972,r1933,Suiheisen made Nan Mile? - Deep Blue Sky & Pure White Wings -,0,10-30 h,43.492,f,f
v973,r1936,GREEN ~Akizora no Screen~,18,10-30 h,13.367,f,f
v974,r1938,Sugata,18,10-30 h,8.825,f,t
v975,r1941,Honoo no Haramase Jinsei ~Ano Koro ni Modotte Haramase Night~,18,10-30 h,18.500,f,t
v976,r1942,Shakkin Shimai 2,18,10-30 h,13.250,f,f
