vndb_id,vn_name,release_year,release_month,rating_bayesian,vn_vote_count
v1056,MYTH,2008,8,682,306
v10561,Shin Kamaitachi no Yoru: 11ninme no Suspect (真かまいたちの夜 11人目の訪問者（サスペクト）),2011,12,637,5
v10567,Zettai Majiiki!? Ichazura Happening! ~Henkei! Hentai!? Te ni Ireta Nouryoku de Eromero Power o Shuushuu Seyo!~ (ぜったいマジイキ!? イチャずらハプニング！～変形！変態!? 手に入れた能力でエロメロパワーを収集せよ！～),2012,7,675,41
v10575,J.Q.V Jinrui Kyuusai-bu ~With Love from Isotope~ (J.Q.V 人類救済部 ～With love from isotope～),2012,5,788,82
v10576,Koi Shiyo? (恋しよっ？),2013,3,745,54
v1058,Colorfull!! (カラフル！！～colorfull!!～),2008,11,669,7
v10583,Dai Ni Ongakushitsu e Youkoso!! (第二音楽室へようこそっ!!),2012,7,688,19
v10585,Tsukumo no Kanade ~Kaketsuki no Yasoukyoku~ (九十九の奏～欠け月の夜想曲～),2012,8,700,45
v1059,Cosscos! ~Anatagonomi no Cosplay H Shite Ageru~ (こっすこす！ ～あなた好みのコスプレHしてあげる～),2008,8,691,37
v10595,Shiokaze no Machi (潮風の街),2003,8,,1
v10597,Natsuzora no Perseus (夏空のペルセウス),2012,11,726,240
v106,Castle Fantasia ~Seima Taisen~ (キャッスルファンタジア ～聖魔大戦～),1998,11,687,524
v1060,MinDeaD BlooD ~Shihaisha no Tame no Kyoushikyoku~ (MinDeaD BlooD ～支配者の為の狂死曲～),2004,6,771,163
v10600,Message ~Todoke Kono Omoi~ (Message ～届けこの想い～),2000,3,,0
v10601,Ore ga Shujinkou ~Naka ni Haitte Ore ga Dasu!~ (俺が主人公～ナカに入って俺がダす！～),2012,5,611,58
v10605,SINCLIENT,2012,8,727,63
v10608,Koiken Otome (恋剣乙女),2012,11,670,1654
v1061,Rinjoku no Shiro Kairai no Ou (凛辱の城 傀儡の王),2008,4,713,39
v10613,Seisai no Resonance (星彩のレゾナンス),2012,11,731,194
v10614,Gun Knight Girl (ガンナイトガール),2012,11,708,103
v10615,Monsters Survive ~Makereba Monster ni Seishoku Sareru~ (Monsters Survive ～負ければモンスターに生殖される～),2012,7,690,120
v10617,"Shukufuku no Kane no Ne wa, Sakurairo no Kaze to Tomo ni (祝福の鐘の音は、桜色の風と共に)",2012,10,757,141
v10619,Zettai Saikyou ☆ Oppai Sensou!! ~Kyonyuu Oukoku vs Hinnyuu Oukoku~ (ぜったい最胸☆おっぱい戦争!! ～巨乳王国vs貧乳王国～),2012,9,696,1206
v10623,Custom Drive (カスタムドライブ),2012,8,536,19
v10626,Nugashite Okashite Inryoku Kyuushu~! (脱がして犯して淫力吸しゅ～！),2012,7,624,17
v10637,Otama! ~Otaku Nakama wa Chikkoi Mania~ (おたマ！～おたく仲間はちっこいマニア～),2012,8,708,76
v1064,Kaiware! (かいわれっ！),2006,7,609,7
v10640,Tsugou no Ii Kanojo (ツゴウノイイ彼女),2012,8,701,42
v10641,Kiss Bell (キスベル),2012,10,715,145
v10642,Re:birth colony -Lost azurite-,2012,7,692,48
v1065,Saishuu Chikan Densha 2 (最終痴漢電車2),2003,12,677,41
v10659,"Jutaijima ""Doushite Anta Mitai na Busao ni Tanezuke Sarenakya Ikenai no yo?!"" (受胎島 「どうしてアンタみたいなブサ男に種付けされなきゃいけないのよ?!」)",2012,7,749,182
v1066,"Ikusa Otome Valkyrie 2 ""Shu yo, Midara na Watashi o Oyurushi Kudasai..."" (戦乙女ヴァルキリー2 「主よ、淫らな私をお許しください…」)",2008,3,719,47
v10674,Mamonokko Fantasy (魔物っ娘ふぁんたじ～),2012,7,644,18
v10680,Tsuki ni Yorisou Otome no Sahou (月に寄りそう乙女の作法),2012,10,794,710
v1069,Gunjou no Sora o Koete (群青の空を越えて),2005,9,771,78
v10700,Sono Hanabira ni Kuchizuke o: Michael no Otome-tachi (その花びらにくちづけを　ミカエルの乙女たち),2012,11,753,382
v1071,In'youchuu Shoku ~Ryoushokutou Taimaroku~ (淫妖蟲 蝕 ～凌触島退魔録～),2006,8,737,40
v1072,Princess Witches (プリンセスうぃっちぃず),2005,5,784,62
v10723,Hakidame ~TRASH~ (吐溜～TRASH～),1999,2,475,7
v1073,Aozora no Mieru Oka (青空の見える丘),2006,4,692,49
v10730,CAGE -CLOSE-,2012,8,777,28
v10732,Oyako Rankan (母娘乱館),2012,7,791,361
v1074,Imitation Lover,2006,1,714,39
v1075,Katakoi no Tsuki (片恋いの月),2007,5,721,21
v1076,Laughter Land,2006,10,778,68
v10762,Zetsumetsu King -Seikimatsu Inran Kyousoukyoku- (絶滅キング-世紀末淫乱狂想曲-),2000,3,,2
v10779,Nyaru Plus (ニャルプラス),2012,8,574,21
v1078,In'youchuu ~Ryoujoku Gakuen Taimaroku~ (淫妖蟲 ～凌触学園退魔録～),2005,10,689,39
v10781,Midara ni Messatsu! Momoiro Kunoichi Ninpouchou♪ ~Ryoukan Shougun no Inbou!?~ (淫らに滅殺！桃色くノ一忍法帖♪ ～陵姦将軍の淫棒!?～),2012,8,551,15
v10786,Gensou Douwa Alicetale (幻奏童話 ALICETALE),2012,10,747,54
v10793,Kurano-kunchi no Futago Jijou (倉野くんちのふたご事情),2012,10,718,241
v10795,Ping Pong Pantsu! ~Yugawara Gakuen Bishoujo ☆ Onsen Takkyuubu~ (ピンポンぱんつ！ ～湯河原学園 美少女☆温泉卓球部～),2012,10,659,13
v10796,Kirameki School Life SP - The Wonder Years (きらめきスクールライフSP),2012,2,669,7
v10798,Maou to Odore! Code:Arcana (魔王と踊れ！ コード：アルカナ),2012,9,700,18
v1080,Pastel Chime Continue (ぱすてるチャイムContinue),2005,6,717,45
v10801,Saimin Yuugi (催眠遊戯),2012,10,762,149
v10803,Aete Mushi Suru Kimi to no Mirai ~Relay Broadcast~ (あえて無視するキミとの未来 ～Relay broadcast～),2012,10,742,162
v10804,Boku ga Tenshi ni Natta Wake (僕が天使になった理由),2012,12,717,751
v10805,Justy×Nasty ~Maou Hajimemashita~ (Justy×Nasty ～魔王はじめました～),2012,11,723,114
v1081,Yakin Byoutou Ni (夜勤病棟・弐),2004,1,716,29
v10817,Yin-Yang! X Change EX ~Boku no Sensei ga Konna ni Onna na Wake ga Nai~ (Yin-Yang! X Change EX ～僕の先生がこんなに女なわけがない～),2012,11,696,36
v1083,Kakyuusei 2 (下級生2),2004,8,720,46
v10833,"Baldr Sky ""Zero"" (バルドスカイ ゼロ)",2013,8,737,118
v10834,Material Brave Ignition (マテリアルブレイブ イグニッション),2013,1,761,74
v1084,"Ikusa Otome Valkyrie ""Anata ni Subete o Sasagemasu"" (戦乙女ヴァルキリー「あなたに全てを捧げます」)",2004,7,700,42
v1085,3days ~Michiteyuku Toki no Kanata de~ (3days～満ちてゆく刻の彼方で～),2004,5,699,165
v10853,Triagain (Triagain トライアゲイン),2012,12,678,10
v10855,Kunoichi Torimonochou (くのいち捕物帖),1997,8,,0
v1086,Suzukuri Dragon (巣作りドラゴン),2004,6,758,103
v10867,Aneimo Neo ~Second Sisters~ (あねいもNeo ~Second Sisters~),2012,11,708,53
v10876,"Ore to 5-nin no Yome-san ga Raburabu nano wa, Mirai kara Kita Aka-chan no Okage ni Chigainai!? (俺と５人の嫁さんがラブラブなのは、未来からきた赤ちゃんのおかげに違いない！？)",2012,12,723,99
v10879,Clavis (CLAVIS-クラヴィス-),2009,8,,1
v1089,Dokidoki Sister Paradise (ドキドキしすたぁパラダイス),2003,2,640,13
v10895,DRAMAtical Murder re:connect,2013,4,779,760
v10899,Taimanin Asagi 3 (対魔忍アサギ3),2012,12,755,474
v109,Tottemo Pheromone (とってもフェロモン),2001,7,597,302
v1090,Engage Links,2008,9,669,20
v1092,Shin Mikagura Shoujo Tanteidan (新・御神楽少女探偵団),2003,12,729,23
v10922,Nekopara ~Nekosogi Paradise~ (ねこぱら ～ねこそぎ・ぱらダイス～),1999,4,666,6
v10926,Naisho no Naisho! (ないしょのないしょ！),2012,11,751,97
v1093,Shin Aniyome (真・兄嫁),2003,8,754,8
v10931,Himitsu no Otome ~Boku ga Onna no Ko ni Natta Wake~ (ヒミツのオトメ ～ボクが女の子になった理由～),2012,9,687,28
v10932,Shitsuji ga Aruji o Erabu Toki (執事が姫を選ぶとき),2013,3,716,87
v10933,Berry's,2013,5,730,113
v10934,Imouto Spiral (妹スパイラル),2013,8,705,28
v10939,Heartful Days ~Hi no Ataru Basho e~ (ハ～トフル・デイズ～陽のあたる場所へ～),2003,9,,0
v1094,Hoshizora ☆ Planet (星空☆ぷらねっと),2000,12,708,25
v10948,Ore Tsuma! ~Ore ga Mansion Kanrinin ni Nattara Hitozuma-tachi to Chotto Ii Koto Dekichau kamo!?~ (おれつま！ ～オレがマンション管理人になったら人妻たちとちょっとイイコトできちゃうかも!?～),2012,8,714,90
v10950,School Wars (スクール・ウォーズ),2012,11,670,22
v10951,Diamond no Kuni no Alice ~Wonderful Wonder World~ (ダイヤの国のアリス ～Wonderful Wonder World～),2012,12,654,20
v10957,Hapymaher (ハピメア),2013,1,743,1561
v10958,Komorebi no Nostalgica (木洩れ陽のノスタルジーカ),2013,1,779,64
v10968,Shirahana no Ori ~Hiiro no Kakera 4~ (白華の檻 ~緋色の欠片4~),2012,9,785,78
v10969,Tantei Opera Milky Holmes 2 (探偵オペラ ミルキィホームズ2),2012,8,692,16
v10971,End Sleep,2013,3,653,24
v10972,Kanojo to Ore to Koibito to. (彼女と俺と恋人と。),2012,11,694,247
v10973,Ryuusei no Arcadia (流星のアーカディア),2012,9,651,25
v10979,"Kono Oozora ni, Tsubasa o Hirogete: FLIGHT DIARY (この大空に、翼をひろげて FLIGHT DIARY)",2013,1,767,668
v10980,Otome ga Tsumugu Koi no Canvas ~Futari no Gallery~ (乙女が紡ぐ恋のキャンバス ～二人のギャラリー～),2012,11,708,112
v10983,Walkure Romanze More&More (ワルキューレロマンツェ More＆More),2013,9,787,228
