music_id,vndb_id
1376,v1661
1376,v759
1377,v759
1378,v760
1379,v761
1380,v762
1381,v762
1382,v763
1383,v763
1384,v764
1385,v764
1386,v764
1388,v764
1389,v764
1389,v764
1390,v764
1391,v765
1392,v765
1392,v765
1393,v765
1394,v765
1395,v765
1396,v766
1397,v766
1399,v767
1400,v768
1401,v768
1402,v772
1403,v773
1404,v775
1405,v775
1406,v776
1407,v3941
1407,v776
1408,v777
1410,v780
1411,v781
1413,v782
1414,v783
1415,v787
1416,v787
1418,v791
1419,v791
1422,v792
1423,v793
1424,v793
1425,v793
1426,v793
1427,v794
1428,v794
1429,v795
1430,v799
1431,v799
1432,v800
1433,v800
1434,v801
1435,v801
1436,v801
1437,v801
1438,v801
1439,v802
1440,v802
1442,v803
1443,v804
1444,v804
1445,v804
1446,v805
1447,v806
1448,v807
1449,v807
1450,v808
1451,v810
1452,v812
1453,v812
1454,v813
1455,v814
1457,v814
1458,v814
1459,v815
1460,v815
1461,v816
1462,v816
1463,v817
1465,v818
1466,v818
1467,v818
1468,v819
1469,v819
1470,v821
1471,v823
1472,v824
1473,v825
1474,v825
1475,v826
1476,v827
1477,v827
1478,v827
1479,v827
1480,v828
1481,v828
1482,v828
1483,v828
1484,v828
1485,v828
1486,v828
1487,v828
1488,v828
1489,v828
1490,v828
1491,v831
1492,v833
1493,v834
1494,v834
1495,v835
1496,v835
1497,v840
1498,v841
1500,v1141
1500,v842
1500,v8664
1501,v844
1502,v845
1503,v846
1504,v846
1505,v846
1506,v847
1507,v848
1508,v849
1508,v849
1509,v850
1510,v851
1511,v852
1512,v852
1513,v852
1514,v852
1515,v853
1516,v853
1517,v857
1518,v857
1519,v858
1520,v858
1521,v859
1522,v859
1523,v860
1524,v860
1524,v861
1525,v861
1526,v861
1527,v861
1528,v861
1529,v861
1530,v861
1531,v861
1532,v862
1533,v862
1534,v862
1534,v865
1535,v863
1536,v863
1537,v863
1538,v864
1539,v864
1540,v865
1541,v865
1542,v873
1543,v873
1545,v874
1546,v878
1547,v878
1548,v878
1552,v883
1553,v883
1554,v891
1556,v892
1557,v892
1558,v893
1559,v893
1560,v893
1561,v893
1562,v894
1563,v894
1564,v894
1565,v897
1566,v897
1567,v897
1568,v898
1569,v898
1570,v898
1571,v902
1572,v903
1573,v2093
1573,v903
1574,v903
1575,v903
1576,v903
1577,v903
1578,v903
1580,v912
1581,v912
1582,v913
1583,v913
1584,v915
1585,v915
1586,v915
1587,v916
1589,v916
1591,v923
1592,v923
1593,v924
1594,v938
1595,v927
1596,v928
1597,v931
1598,v933
1599,v933
1600,v943
1601,v943
1602,v943
1603,v947
1604,v948
1605,v948
1606,v952
1607,v952
1608,v959
1609,v959
1610,v959
1611,v960
1612,v961
1613,v962
1614,v962
1615,v962
1616,v962
1617,v962
1618,v962
1619,v962
1620,v962
1621,v962
1622,v963
1624,v963
1625,v965
1626,v965
1627,v3244
1627,v968
1628,v3244
1628,v968
1629,v3244
1629,v968
1630,v968
1631,v968
1632,v968
1633,v3244
1633,v968
1634,v3244
1634,v968
1635,v968
1636,v969
1637,v969
1638,v969
1639,v969
1640,v969
1641,v969
1642,v969
1643,v972
1644,v972
1645,v972
1646,v972
1647,v972
1648,v976
1649,v979
1650,v981
1650,v982
1651,v981
1652,v983
1653,v983
1654,v992
1656,v992
1657,v992
1658,v992
1659,v994
1660,v997
1663,v999
1664,v1000
1665,v1000
1666,v1000
1667,v1001
1668,v1001
1669,v1002
1670,v1002
1671,v1002
1672,v1004
1673,v1009
1674,v1009
1675,v1009
1677,v1011
1678,v1015
1679,v1016
1680,v1020
1681,v1021
1682,v1021
1683,v1022
1684,v1022
1685,v1022
1686,v1023
1687,v1023
1688,v1023
1689,v1024
1690,v1024
1691,v1024
1692,v1027
1693,v1027
1694,v1029
1695,v1029
1696,v1031
1697,v1031
1698,v1032
1699,v1036
1700,v1037
1701,v1037
1702,v1037
1703,v1039
1704,v1039
1705,v1040
1706,v1040
1709,v1041
1710,v1041
1711,v1041
1712,v1041
1713,v1042
1714,v1044
1715,v1046
1717,v1046
1718,v1047
1719,v1047
1720,v1047
1721,v1049
1722,v1049
1723,v1049
1724,v1049
1725,v1050
1726,v1051
1727,v1052
1728,v1052
1729,v1052
1730,v1053
1731,v1054
1732,v1054
1733,v1056
1734,v1056
1735,v1058
1736,v1058
1737,v1059
1738,v1060
1739,v1060
1740,v1060
1741,v1060
1742,v1061
1743,v1064
1744,v1064
1745,v1064
1746,v1065
1747,v1066
1748,v1069
1749,v1069
1750,v1071
1751,v1072
1752,v1072
1753,v1073
1754,v1073
1755,v1074
1757,v1075
1758,v1075
1759,v1075
1760,v1075
1761,v1076
1763,v1078
1764,v1080
1765,v1080
1766,v1080
1767,v1080
1768,v1081
1769,v1081
1771,v1083
1772,v1083
1773,v1083
1774,v1083
1775,v1083
1776,v1083
1777,v1083
1778,v1083
1779,v1083
1780,v1083
1781,v1083
1782,v1084
1783,v1084
1784,v1085
1785,v1085
1786,v1086
1787,v1089
1788,v1090
1789,v1090
1790,v1092
1790,v16702
1790,v16703
1791,v1092
1791,v16702
1792,v1092
1792,v16702
1792,v16703
1793,v1094
1794,v1094
1795,v1099
1796,v1099
1797,v1099
1798,v1099
1799,v1101
1800,v1102
1801,v1102
1802,v1103
1803,v1105
1804,v1106
1805,v1107
1806,v1113
1807,v1113
1808,v1115
1809,v1115
1810,v1115
1811,v1115
1812,v1115
1813,v1115
1814,v1115
1815,v1115
1816,v1115
1817,v1116
1818,v1116
1819,v1117
1820,v1118
1821,v1119
1822,v1120
1823,v1120
1824,v1121
1825,v1121
1826,v1122
1827,v1122
1828,v1122
1829,v1123
1830,v1123
1831,v1126
1832,v1127
1833,v1127
1834,v1129
1835,v1129
1836,v1131
1837,v1132
1838,v1132
1839,v1132
1840,v1133
1841,v1135
1842,v1136
1842,v1136
1843,v1136
1844,v1136
1845,v1136
1846,v1136
1847,v1137
1848,v1138
1849,v1138
1850,v1140
1851,v1140
1852,v1140
1853,v1140
1854,v1141
1855,v1141
1856,v1141
1857,v1141
1858,v1141
1859,v1141
1859,v8664
1860,v1142
1861,v1143
1862,v1143
1863,v1143
1864,v1143
1866,v1145
1867,v1146
