music_id,music_type,music_name,stat_correct,stat_played,stat_guessed,stat_averageguessms,avg_vote,music_vote_count
148,Ending,Jikan no Kumo,52,334,132,17010,70.0000000000000000,10
149,Ending,Hitotsu no Inochi,105,705,348,19063,50.0000000000000000,15
150,Ending,Place of Period,390,2055,1130,13155,64.0000000000000000,25
150,Opening,Place of Period,390,2055,1130,13155,64.0000000000000000,25
151,Ending,escape,188,828,640,14031,64.2500000000000000,20
152,Ending,Friend,22,119,77,14772,10.0000000000000000,5
153,Ending,Tsuisou no Despair,2145,4488,3883,15255,80.2727272727272727,55
153,Opening,Tsuisou no Despair,2145,4488,3883,15255,80.2727272727272727,55
154,Opening,SideEffect,1232,3290,2940,19483,80.0000000000000000,49
155,Ending,Nageki no Mori,1344,2800,2030,13618,82.1428571428571429,35
155,Opening,Nageki no Mori,1344,2800,2030,13618,82.1428571428571429,35
156,Ending,Complex Image,588,2214,1644,13073,63.5000000000000000,30
156,Opening,Complex Image,1176,4428,3288,13073,63.5000000000000000,60
157,Ending,Hikari no Sora no Qualia,282,933,666,14520,58.3333333333333333,15
157,Opening,Hikari no Sora no Qualia,282,933,666,14520,58.3333333333333333,15
158,Ending,Shikkoku no Saidan,186,1128,654,11823,46.6666666666666667,12
159,Ending,Sora no Mukou,425,1195,820,14716,83.8000000000000000,25
160,Ending,you,810,1845,1530,13256,94.3333333333333333,45
161,Ending,Angelic Bright,575,1805,1360,21866,75.0000000000000000,35
161,Opening,Angelic Bright,575,1805,1360,21866,75.0000000000000000,35
162,Ending,Tada Nagaruru Mama ni,812,3220,2142,13188,82.7142857142857143,70
163,Insert,15cm,96,544,256,14970,70.0000000000000000,8
164,Opening,Narcissus,126,384,261,11042,63.3333333333333333,15
165,Opening,Fuyu no Canvas,1,12,4,11300,,0
166,Ending,Tanpopo no Wataboushi,0,5,2,12597,65.0000000000000000,1
167,Opening,SummerDays,0,4,3,12988,50.0000000000000000,1
168,Ending,Umi Kara Hajimaru Monogatari,0,3,1,18020,60.0000000000000000,1
169,Opening,Eien no Aselia,154,370,238,14587,89.0000000000000000,10
170,Opening,Limit of Heaven,114,453,267,16287,86.3333333333333333,15
171,Opening,hallelujah,62,286,154,15286,65.0000000000000000,10
172,Ending,Kono Daichi no Hate de,62,190,124,15669,60.0000000000000000,10
173,Insert,Kotokoto Onabe,0,1,0,0,30.0000000000000000,1
174,Opening,Step forward ~Kimi Dake no Hoshi~,0,9,3,18736,60.0000000000000000,2
175,Insert,Kaze ni Notte Yuukou,0,6,1,5000,30.0000000000000000,2
176,Insert,Kenshi Gunka,3,12,7,10050,50.0000000000000000,1
177,Ending,Kaze to Mizu to Kiyorakana Sora,1,2,1,1675,60.0000000000000000,2
178,Ending,Kimi ni Yell,0,1,0,0,60.0000000000000000,1
179,Ending,Montage,0,8,1,20000,,0
180,Insert,Ushiro Sugata,0,11,8,14311,,0
181,Opening,Dianoia,6,50,26,15142,,0
182,Insert,Tobenai Tori,0,3,0,0,,0
183,Ending,Ashita no Koe,0,20,6,11310,,0
